timestamp,SpO2,pulse_rate
2025-02-26 16:00:00,97.6,83
2025-02-26 16:01:00,96.8,80
2025-02-26 16:02:00,97.8,75
2025-02-26 16:03:00,98.8,88
2025-02-26 16:04:00,96.7,83
2025-02-26 16:05:00,96.7,84
2025-02-26 16:06:00,98.9,80
2025-02-26 16:07:00,97.9,84
2025-02-26 16:08:00,96.4,78
2025-02-26 16:09:00,97.7,78
2025-02-26 16:10:00,96.4,77
2025-02-26 16:11:00,96.4,84
2025-02-26 16:12:00,97.3,83
2025-02-26 16:13:00,94.7,77
2025-02-26 16:14:00,94.9,82
2025-02-26 16:15:00,96.3,85
2025-02-26 16:16:00,95.8,76
2025-02-26 16:17:00,97.4,82
2025-02-26 16:18:00,95.9,82
2025-02-26 16:19:00,95.3,78
2025-02-26 16:20:00,98.8,85
2025-02-26 16:21:00,96.7,82
2025-02-26 16:22:00,97.1,83
2025-02-26 16:23:00,95.3,89
2025-02-26 16:24:00,96.3,77
2025-02-26 16:25:00,97.1,77
2025-02-26 16:26:00,95.6,87
2025-02-26 16:27:00,97.5,84
2025-02-26 16:28:00,96.3,86
2025-02-26 16:29:00,96.6,98
2025-02-26 16:30:00,96.0,89
2025-02-26 16:31:00,92.5,95
2025-02-26 16:32:00,89.0,98
2025-02-26 16:33:00,85.5,107
2025-02-26 16:34:00,82.0,113
2025-02-26 16:35:00,95.5,88
2025-02-26 16:36:00,97.3,77
2025-02-26 16:37:00,94.6,82
2025-02-26 16:38:00,95.4,82
2025-02-26 16:39:00,97.2,79
2025-02-26 16:40:00,97.9,89
2025-02-26 16:41:00,97.2,70
2025-02-26 16:42:00,96.9,84
2025-02-26 16:43:00,96.6,77
2025-02-26 16:44:00,95.2,83
2025-02-26 16:45:00,96.1,118
2025-02-26 16:46:00,96.4,124
2025-02-26 16:47:00,98.3,75
2025-02-26 16:48:00,97.4,76
2025-02-26 16:49:00,94.9,85
2025-02-26 16:50:00,97.4,80
2025-02-26 16:51:00,96.5,83
2025-02-26 16:52:00,96.2,78
2025-02-26 16:53:00,97.7,79
2025-02-26 16:54:00,98.2,88
2025-02-26 16:55:00,98.1,86
2025-02-26 16:56:00,96.0,75
2025-02-26 16:57:00,96.6,81
2025-02-26 16:58:00,97.4,78
2025-02-26 16:59:00,98.2,83
2025-02-26 17:00:00,96.4,79
